plot_code,sub_plot,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_MgC_ha_year,twigs_MgC_ha_year,flowers_MgC_ha_year,fruits_MgC_ha_year,seeds_MgC_ha_year,outros_MgC_ha_year,total_litterfall_MgC_ha_year,date,DaysBetween
ESA-04,14,2018,1,31,4.14,0.25,0.28616,0,0,0,0,0,0.28616,31/01/2018,12
ESA-04,17,2018,1,31,4.17,0.25,0.816748333,0.10731,0.113271667,0,0,0,1.03733,31/01/2018,12
ESA-04,18,2018,1,31,4.18,0.25,0.304045,0.101348333,0,0,0,0,0.405393333,31/01/2018,12
ESA-04,19,2018,1,31,4.19,0.25,0.011923333,0,0,0,0,0,0.011923333,31/01/2018,12
ESA-04,7,2018,2,14,4.7,0.25,0.13286,0.00511,0,0,0,0,0.13797,14/02/2018,14
ESA-04,8,2018,2,14,4.8,0.25,0.01022,0.03066,0,0,0,0,0.04088,14/02/2018,14
ESA-04,9,2018,2,14,4.9,0.25,0.19418,0,0,0.06132,0,0,0.2555,14/02/2018,14
ESA-04,12,2018,2,14,4.12,0.25,0.511,0.27594,0,0,0,0,0.78694,14/02/2018,14
ESA-04,13,2018,2,14,4.13,0.25,0.4088,0.89425,0,0.15841,0.06132,0,1.52278,14/02/2018,14
ESA-04,14,2018,2,14,4.14,0.25,0.32193,0.02044,0,0,0,0,0.34237,14/02/2018,14
ESA-04,17,2018,2,14,4.17,0.25,0.73073,0.04088,0.00511,0,0,0,0.77672,14/02/2018,14
ESA-04,18,2018,2,14,4.18,0.25,0.11753,0.39858,0,0,0,0,0.51611,14/02/2018,14
ESA-04,19,2018,2,14,4.19,0.25,0.08176,0,0,0,0,0,0.08176,14/02/2018,14
ESA-04,7,2018,2,28,4.7,0.25,0.26061,0.02044,0,0,0,0,0.28105,28/02/2018,14
ESA-04,8,2018,2,28,4.8,0.25,0.52633,0,0,0,0,0,0.52633,28/02/2018,14
ESA-04,9,2018,2,28,4.9,0.25,0.03066,0.09198,0.04088,0,0,0,0.16352,28/02/2018,14
ESA-04,12,2018,2,28,4.12,0.25,0.78694,1.10376,0,0.09198,0,0,1.98268,28/02/2018,14
ESA-04,13,2018,2,28,4.13,0.25,0.24528,0.53655,0,0.11753,0,0,0.89936,28/02/2018,14
ESA-04,14,2018,2,28,4.14,0.25,0.97601,0.58254,0,0,0,0,1.55855,28/02/2018,14
ESA-04,17,2018,2,28,4.17,0.25,0.73073,0.14308,0,0,0,0,0.87381,28/02/2018,14
ESA-04,18,2018,2,28,4.18,0.25,0.04088,0.46501,0,0,0,0,0.50589,28/02/2018,14
ESA-04,19,2018,2,28,4.19,0.25,0,0,0,0,0,0,0,28/02/2018,14
ESA-04,7,2018,3,14,4.7,0.25,0.50589,0,0,0,0,0,0.50589,14/03/2018,14
ESA-04,8,2018,3,14,4.8,0.25,0.99645,0,0,0,0,0,0.99645,14/03/2018,14
ESA-04,9,2018,3,14,4.9,0.25,0.46501,0.1022,0,0.08687,0,0,0.65408,14/03/2018,14
ESA-04,12,2018,3,14,4.12,0.25,1.20085,0.05621,0.1022,0.06132,0,0,1.42058,14/03/2018,14
ESA-04,13,2018,3,14,4.13,0.25,1.14464,0,0,0.04599,0,0,1.19063,14/03/2018,14
ESA-04,14,2018,3,14,4.14,0.25,0.99134,0.02555,0,0,0,0,1.01689,14/03/2018,14
ESA-04,17,2018,3,14,4.17,0.25,1.16508,0.1022,0,0,0,0,1.26728,14/03/2018,14
ESA-04,18,2018,3,14,4.18,0.25,0.45479,0.24528,0,0,0,0,0.70007,14/03/2018,14
ESA-04,19,2018,3,14,4.19,0.25,0.26061,0,0,0,0,0,0.26061,14/03/2018,14
ESA-04,7,2018,3,28,4.7,0.25,0.9709,0.12775,0,0,0,0,1.09865,28/03/2018,14
ESA-04,8,2018,3,28,4.8,0.25,0.38325,0.00511,0,0,0,0,0.38836,28/03/2018,14
ESA-04,9,2018,3,28,4.9,0.25,0.16352,0.18907,0,0,0,0,0.35259,28/03/2018,14
ESA-04,12,2018,3,28,4.12,0.25,1.19063,0.01533,0,0.06643,0,0,1.27239,28/03/2018,14
ESA-04,13,2018,3,28,4.13,0.25,0.75628,1.52278,0,0.04599,0,0,2.32505,28/03/2018,14
ESA-04,14,2018,3,28,4.14,0.25,0.72051,1.022,0,0,0,0,1.74251,28/03/2018,14
ESA-04,17,2018,3,28,4.17,0.25,9.71922,0.13797,0,0,0,0,9.85719,28/03/2018,14
ESA-04,18,2018,3,28,4.18,0.25,0.26061,0.0511,0,0,0,0,0.31171,28/03/2018,14
ESA-04,19,2018,3,28,4.19,0.25,0.14308,0,0,0,0,0.0511,0.19418,28/03/2018,14
ESA-04,7,2018,4,10,4.7,0.25,0.126570769,0,0,0,0,0.022012308,0.148583077,10/04/2018,13
ESA-04,8,2018,4,10,4.8,0.25,0.104558462,0,0,0,0,0,0.104558462,10/04/2018,13
ESA-04,9,2018,4,10,4.9,0.25,0.682381538,0.022012308,0.011006154,0.126570769,0,0,0.841970769,10/04/2018,13
ESA-04,12,2018,4,10,4.12,0.25,1.381272308,0.022012308,0,0,0,0,1.403284615,10/04/2018,13
ESA-04,13,2018,4,10,4.13,0.25,0.159589231,0,0,0,0,0.011006154,0.170595385,10/04/2018,13
ESA-04,14,2018,4,10,4.14,0.25,0.698890769,0.099055385,0,0,0,0.005503077,0.803449231,10/04/2018,13
ESA-04,17,2018,4,10,4.17,0.25,8.29864,0.055030769,0,0,0,0,8.353670769,10/04/2018,13
ESA-04,18,2018,4,10,4.18,0.25,0.539301538,1.298726154,0,0,0,0,1.838027692,10/04/2018,13
ESA-04,19,2018,4,10,4.19,0.25,0.440246154,0,0,0,0,0.07154,0.511786154,10/04/2018,13
ESA-04,7,2018,4,25,4.7,0.25,0.57232,0.019077333,0,0,0,0.038154667,0.629552,25/04/2018,15
ESA-04,8,2018,4,25,4.8,0.25,0.257544,0.405393333,0,0,0,0.019077333,0.682014667,25/04/2018,15
ESA-04,9,2018,4,25,4.9,0.25,0.686784,0.033385333,0.014308,0,0,0,0.734477333,25/04/2018,15
ESA-04,12,2018,4,25,4.12,0.25,0.639090667,0,0.028616,0,0,0,0.667706667,25/04/2018,15
ESA-04,13,2018,4,25,4.13,0.25,1.28772,0.152618667,0,0,0.019077333,0.004769333,1.464185333,25/04/2018,15
ESA-04,14,2018,4,25,4.14,0.25,0.662937333,0.014308,0,0,0,0.009538667,0.686784,25/04/2018,15
ESA-04,17,2018,4,25,4.17,0.25,4.039625333,0.009538667,0,0,0,0.014308,4.063472,25/04/2018,15
ESA-04,18,2018,4,25,4.18,0.25,0.348161333,0.104925333,0,0,0,0,0.453086667,25/04/2018,15
ESA-04,19,2018,4,25,4.19,0.25,0.21462,0,0,0,0,0,0.21462,25/04/2018,15
ESA-04,7,2018,5,9,4.7,0.25,0.31171,0.01022,0,0,0,0,0.32193,09/05/2018,14
ESA-04,8,2018,5,9,4.8,0.25,1.2775,0.42924,0,0,0,0.07154,1.77828,09/05/2018,14
ESA-04,9,2018,5,9,4.9,0.25,2.04911,0.06132,0.01022,0,0,0.02044,2.14109,09/05/2018,14
ESA-04,12,2018,5,9,4.12,0.25,1.88048,0.02555,0,0,0,0,1.90603,09/05/2018,14
ESA-04,13,2018,5,9,4.13,0.25,0.90447,0,0,0,0,0.00511,0.90958,09/05/2018,14
ESA-04,14,2018,5,9,4.14,0.25,1.31838,0.10731,0,0,0,0.00511,1.4308,09/05/2018,14
ESA-04,17,2018,5,9,4.17,0.25,5.70787,0.43946,0,0,0,0.09198,6.23931,09/05/2018,14
ESA-04,18,2018,5,9,4.18,0.25,0.87381,0.16863,0,0,0,0,1.04244,09/05/2018,14
ESA-04,19,2018,5,9,4.19,0.25,0.35259,0.01533,0,0,0,0,0.36792,09/05/2018,14
ESA-04,7,2018,5,23,4.7,0.25,4.40993,0.04088,0,0,0,0,4.45081,23/05/2018,14
ESA-04,8,2018,5,23,4.8,0.25,1.67608,0.02555,0,0,0,0.01022,1.71185,23/05/2018,14
ESA-04,9,2018,5,23,4.9,0.25,2.08488,0.6643,0,0,0,0,2.74918,23/05/2018,14
ESA-04,12,2018,5,23,4.12,0.25,0,0.00511,0,0,0,0,0.00511,23/05/2018,14
ESA-04,13,2018,5,23,4.13,0.25,1.41036,0.05621,0,0.13286,0,0.00511,1.60454,23/05/2018,14
ESA-04,14,2018,5,23,4.14,0.25,1.81916,0.02555,0,0,0,0.00511,1.84982,23/05/2018,14
ESA-04,17,2018,5,23,4.17,0.25,15.71836,0.96579,0,0,0.00511,0.03577,16.72503,23/05/2018,14
ESA-04,18,2018,5,23,4.18,0.25,0.75117,0.2555,0,0,0,0,1.00667,23/05/2018,14
ESA-04,19,2018,5,23,4.19,0.25,1.98268,0.18907,0.00511,0,0,0.14819,2.32505,23/05/2018,14
ESA-04,7,2018,6,8,4.7,0.25,7.0735175,0.01341375,0,0,0,0.00447125,7.0914025,08/06/2018,16
ESA-04,8,2018,6,8,4.8,0.25,1.14016875,0.0089425,0,0,0,0.01341375,1.162525,08/06/2018,16
ESA-04,9,2018,6,8,4.9,0.25,1.98076375,0.53207875,0.03577,0,0,0.0089425,2.557555,08/06/2018,16
ESA-04,12,2018,6,8,4.12,0.25,2.39211875,0,0,0,0,0,2.39211875,08/06/2018,16
ESA-04,13,2018,6,8,4.13,0.25,6.1792675,0,0,0.25039,0,0.03129875,6.46095625,08/06/2018,16
ESA-04,14,2018,6,8,4.14,0.25,1.36373125,0.03129875,0.0089425,0,0,0,1.4039725,08/06/2018,16
ESA-04,17,2018,6,8,4.17,0.25,8.10637625,0.5991475,0,0,0,0.04918375,8.7547075,08/06/2018,16
ESA-04,18,2018,6,8,4.18,0.25,0.661745,0.0089425,0,0,0,0,0.6706875,08/06/2018,16
ESA-04,19,2018,6,8,4.19,0.25,0.01341375,0,0,0,0,0.04024125,0.053655,08/06/2018,16
ESA-04,7,2018,6,22,4.7,0.25,3.37771,0.00511,0,0,0,0,3.38282,22/06/2018,14
ESA-04,8,2018,6,22,4.8,0.25,1.10376,0.02555,0,0,0,0.04599,1.1753,22/06/2018,14
ESA-04,9,2018,6,22,4.9,0.25,2.3506,0.21973,0.01022,0,0,0.00511,2.58566,22/06/2018,14
ESA-04,12,2018,6,22,4.12,0.25,2.54989,0.11242,0,0,0,0,2.66231,22/06/2018,14
ESA-04,13,2018,6,22,4.13,0.25,4.2924,0.06643,0,0.09198,0.01022,0.00511,4.46614,22/06/2018,14
ESA-04,14,2018,6,22,4.14,0.25,3.1682,0.13797,0,0,0,0,3.30617,22/06/2018,14
ESA-04,17,2018,6,22,4.17,0.25,12.17713,0.71029,0,0,0,0.00511,12.89253,22/06/2018,14
ESA-04,18,2018,6,22,4.18,0.25,0.83293,0.14308,0,0,0,0,0.97601,22/06/2018,14
ESA-04,19,2018,6,22,4.19,0.25,0.88403,0,0,0,0,0.00511,0.88914,22/06/2018,14
ESA-04,7,2018,7,2,4.7,0.25,0.779786,0,0,0,0.028616,0,0.808402,02/07/2018,10
ESA-04,8,2018,7,2,4.8,0.25,0.67963,0,0,0,0,0.03577,0.7154,02/07/2018,10
ESA-04,9,2018,7,2,4.9,0.25,2.654134,0,0,0,0,0,2.654134,02/07/2018,10
ESA-04,12,2018,7,2,4.12,0.25,1.373568,0.078694,0,0,0,0,1.452262,02/07/2018,10
ESA-04,13,2018,7,2,4.13,0.25,4.47125,0.193158,0,0.014308,0,0,4.678716,02/07/2018,10
ESA-04,14,2018,7,2,4.14,0.25,1.28772,0.042924,0,0,0,0,1.330644,02/07/2018,10
ESA-04,17,2018,7,2,4.17,0.25,5.58012,1.652574,0,0,0,0,7.232694,02/07/2018,10
ESA-04,18,2018,7,2,4.18,0.25,0.67963,0.07154,0,0,0,0,0.75117,02/07/2018,10
ESA-04,19,2018,7,2,4.19,0.25,0.493626,0,0,0,0,0.014308,0.507934,02/07/2018,10
ESA-04,7,2018,7,17,4.7,0.25,3.357610667,0.081078667,0,0,0,0.004769333,3.443458667,17/07/2018,15
ESA-04,8,2018,7,17,4.8,0.25,2.236817333,0.028616,0,0,0,0.052462667,2.317896,17/07/2018,15
ESA-04,9,2018,7,17,4.9,0.25,3.915622667,0.343392,0.042924,0,0,0.009538667,4.311477333,17/07/2018,15
ESA-04,12,2018,7,17,4.12,0.25,3.829774667,0.591397333,0,0,0,0,4.421172,17/07/2018,15
ESA-04,13,2018,7,17,4.13,0.25,3.367149333,0.791709333,0,0,0,0.028616,4.187474667,17/07/2018,15
ESA-04,14,2018,7,17,4.14,0.25,4.459326667,0.14308,0,0,0,0,4.602406667,17/07/2018,15
ESA-04,17,2018,7,17,4.17,0.25,7.306618667,1.249565333,0,0,0,0.014308,8.570492,17/07/2018,15
ESA-04,18,2018,7,17,4.18,0.25,2.837753333,1.440338667,0.014308,0,0,0,4.2924,17/07/2018,15
ESA-04,19,2018,7,17,4.19,0.25,4.378248,0.205081333,0.028616,0,0,0.004769333,4.616714667,17/07/2018,15
ESA-04,7,2018,7,30,4.7,0.25,2.43236,0.451252308,0,0,0,0.022012308,2.905624615,30/07/2018,13
ESA-04,8,2018,7,30,4.8,0.25,7.176012308,0.165092308,0,0,0,0,7.341104615,30/07/2018,13
ESA-04,9,2018,7,30,4.9,0.25,5.712193846,0.14308,0,0.060533846,0,0.005503077,5.921310769,30/07/2018,13
ESA-04,12,2018,7,30,4.12,0.25,4.066773846,0.814455385,0,0,0,0.038521538,4.919750769,30/07/2018,13
ESA-04,13,2018,7,30,4.13,0.25,4.011743077,0.913510769,0.005503077,0,0,0,4.930756923,30/07/2018,13
ESA-04,14,2018,7,30,4.14,0.25,8.480241538,0.187104615,0,0,0,0,8.667346154,30/07/2018,13
ESA-04,17,2018,7,30,4.17,0.25,8.375683077,1.871046154,0,0,0,0,10.24672923,30/07/2018,13
ESA-04,18,2018,7,30,4.18,0.25,3.9347,0.42924,0,0,0,0,4.36394,30/07/2018,13
ESA-04,19,2018,7,30,4.19,0.25,8.028989231,0.324681538,0.033018462,0,0,0,8.386689231,30/07/2018,13
ESA-04,7,2018,8,14,4.7,0.25,2.847292,0.004769333,0,0,0,0.076309333,2.928370667,14/08/2018,15
ESA-04,8,2018,8,14,4.8,0.25,5.847202667,0,0,0,0,0,5.847202667,14/08/2018,15
ESA-04,9,2018,8,14,4.9,0.25,5.909204,0.023846667,0,0,0,0,5.933050667,14/08/2018,15
ESA-04,12,2018,8,14,4.12,0.25,2.785290667,1.211410667,0.009538667,0,0,0,4.00624,14/08/2018,15
ESA-04,13,2018,8,14,4.13,0.25,4.774102667,0.710630667,0.033385333,0,0,0.004769333,5.522888,14/08/2018,15
ESA-04,14,2018,8,14,4.14,0.25,8.651570667,0.023846667,0,0,0,0,8.675417333,14/08/2018,15
ESA-04,17,2018,8,14,4.17,0.25,4.564252,1.130332,0,0,0,0.038154667,5.732738667,14/08/2018,15
ESA-04,18,2018,8,14,4.18,0.25,5.036416,0.300468,0,0,0,0,5.336884,14/08/2018,15
ESA-04,19,2018,8,14,4.19,0.25,3.400534667,0.057232,0.090617333,0,0,0.124002667,3.672386667,14/08/2018,15
ESA-04,7,2018,8,28,4.7,0.25,3.96536,1.04755,0,0,0,0.02555,5.03846,28/08/2018,14
ESA-04,8,2018,8,28,4.8,0.25,8.30886,0.19418,0.00511,0,0,0.02044,8.52859,28/08/2018,14
ESA-04,9,2018,8,28,4.9,0.25,8.90162,0.19418,0.00511,0,0,0,9.10091,28/08/2018,14
ESA-04,12,2018,8,28,4.12,0.25,4.20553,0.85848,0.01022,0,0,0,5.07423,28/08/2018,14
ESA-04,13,2018,8,28,4.13,0.25,5.11,0.74095,0.03577,0.07154,0,0.01022,5.96848,28/08/2018,14
ESA-04,14,2018,8,28,4.14,0.25,10.4244,0.65408,0.01533,0,0,0.02555,11.11936,28/08/2018,14
ESA-04,17,2018,8,28,4.17,0.25,4.45592,1.04755,0.00511,0,0,0.01022,5.5188,28/08/2018,14
ESA-04,18,2018,8,28,4.18,0.25,9.76521,0.49567,0.02044,0,0,0,10.28132,28/08/2018,14
ESA-04,19,2018,8,28,4.19,0.25,4.81362,0.2044,0.17374,0,0,0.06132,5.25308,28/08/2018,14
ESA-04,7,2018,9,9,4.7,0.25,27.36405,0,0,0,0,0,27.36405,09/09/2018,12
ESA-04,8,2018,9,9,4.8,0.25,6.027245,0,0.005961667,0,0,0,6.033206667,09/09/2018,12
ESA-04,9,2018,9,9,4.9,0.25,5.156841667,0.166926667,0,0,0,0,5.323768333,09/09/2018,12
ESA-04,12,2018,9,9,4.12,0.25,2.784098333,0.041731667,0,0,0,0,2.82583,09/09/2018,12
ESA-04,13,2018,9,9,4.13,0.25,2.241586667,0,0,0,0,0,2.241586667,09/09/2018,12
ESA-04,14,2018,9,9,4.14,0.25,4.238745,0.041731667,0.017885,0,0,0,4.298361667,09/09/2018,12
ESA-04,17,2018,9,9,4.17,0.25,1.371183333,0.113271667,0,0,0,0,1.484455,09/09/2018,12
ESA-04,18,2018,9,9,4.18,0.25,4.572598333,0.029808333,0.017885,0,0,0.011923333,4.632215,09/09/2018,12
ESA-04,19,2018,9,9,4.19,0.25,2.462168333,0,0.083463333,0,0,0,2.545631667,09/09/2018,12
ESA-04,7,2018,9,26,4.7,0.25,3.690622353,0.008416471,0,0,0,0,3.699038824,26/09/2018,17
ESA-04,8,2018,9,26,4.8,0.25,3.257174118,0.197787059,0.096789412,0,0,0.008416471,3.560167059,26/09/2018,17
ESA-04,9,2018,9,26,4.9,0.25,3.652748235,0.016832941,0,0.042082353,0,0.004208235,3.715871765,26/09/2018,17
ESA-04,12,2018,9,26,4.12,0.25,4.932051765,0.126247059,0,0,0.008416471,0.004208235,5.070923529,26/09/2018,17
ESA-04,13,2018,9,26,4.13,0.25,2.583856471,0.122038824,0.008416471,0,0,0,2.714311765,26/09/2018,17
ESA-04,14,2018,9,26,4.14,0.25,5.470705882,0.025249412,0,0,0.004208235,0,5.500163529,26/09/2018,17
ESA-04,17,2018,9,26,4.17,0.25,1.948412941,0.004208235,0.854271765,0,0,0.016832941,2.823725882,26/09/2018,17
ESA-04,18,2018,9,26,4.18,0.25,4.460729412,0.113622353,0.008416471,0,0,0.012624706,4.595392941,26/09/2018,17
ESA-04,19,2018,9,26,4.19,0.25,2.520732941,0.833230588,0,0,0,0.004208235,3.358171765,26/09/2018,17
ESA-04,7,2018,10,10,4.7,0.25,1.80894,0.02555,0.00511,0.16352,0,0,2.00312,10/10/2018,14
ESA-04,8,2018,10,10,4.8,0.25,0.82271,0.01533,0.07154,0.01533,0,0.01022,0.93513,10/10/2018,14
ESA-04,9,2018,10,10,4.9,0.25,0.33215,0.03577,0.01533,0.06132,0,0,0.44457,10/10/2018,14
ESA-04,12,2018,10,10,4.12,0.25,1.77317,1.00667,0,0,0.04088,0,2.82072,10/10/2018,14
ESA-04,13,2018,10,10,4.13,0.25,0.52633,0.00511,0,0.04599,0,0,0.57743,10/10/2018,14
ESA-04,14,2018,10,10,4.14,0.25,2.27395,0.05621,0.00511,0,0,0,2.33527,10/10/2018,14
ESA-04,17,2018,10,10,4.17,0.25,0.93513,0.06132,0.00511,0,0,0.00511,1.00667,10/10/2018,14
ESA-04,18,2018,10,10,4.18,0.25,0.8687,0.07665,0.00511,0,0,0,0.95046,10/10/2018,14
ESA-04,19,2018,10,10,4.19,0.25,0.53655,0.09198,0.31171,0,0,0,0.94024,10/10/2018,14
ESA-04,7,2018,10,23,4.7,0.25,0.654866154,0.033018462,1.705953846,0,0,0,2.393838462,23/10/2018,13
ESA-04,8,2018,10,23,4.8,0.25,0.346693846,0,0.192607692,0,0,0,0.539301538,23/10/2018,13
ESA-04,9,2018,10,23,4.9,0.25,0.21462,0,0.049527692,0,0,0,0.264147692,23/10/2018,13
ESA-04,12,2018,10,23,4.12,0.25,0.379712308,0.033018462,0.093552308,0,0,0,0.506283077,23/10/2018,13
ESA-04,13,2018,10,23,4.13,0.25,0.275153846,0.550307692,0.473264615,0,0,0,1.298726154,23/10/2018,13
ESA-04,14,2018,10,23,4.14,0.25,1.254701538,0.033018462,0.198110769,0,0,0,1.485830769,23/10/2018,13
ESA-04,17,2018,10,23,4.17,0.25,0.682381538,0,0.044024615,0,0,0,0.726406154,23/10/2018,13
ESA-04,18,2018,10,23,4.18,0.25,0.473264615,0.066036923,0.022012308,0,0,0,0.561313846,23/10/2018,13
ESA-04,19,2018,10,23,4.19,0.25,0.478767692,0,0.187104615,0,0,0,0.665872308,23/10/2018,13
ESA-04,7,2018,11,6,4.7,0.25,0.50078,0.00511,1.9418,0.01022,0,0,2.45791,06/11/2018,14
ESA-04,8,2018,11,6,4.8,0.25,0.74606,0.14819,0.14819,0,0,0,1.04244,06/11/2018,14
ESA-04,9,2018,11,6,4.9,0.25,0.13797,0.27594,0.11242,0,0,0,0.52633,06/11/2018,14
ESA-04,12,2018,11,6,4.12,0.25,0.37303,0.511,0.01022,0,0,0.00511,0.89936,06/11/2018,14
ESA-04,13,2018,11,6,4.13,0.25,0.92491,0,0.53655,0,0,0,1.46146,06/11/2018,14
ESA-04,14,2018,11,6,4.14,0.25,0.57743,0.04088,0.43435,0,0,0,1.05266,06/11/2018,14
ESA-04,17,2018,11,6,4.17,0.25,0.59276,0.00511,0.04088,0,0,0.2044,0.84315,06/11/2018,14
ESA-04,18,2018,11,6,4.18,0.25,0.34748,0.08176,0.06643,0,0,0,0.49567,06/11/2018,14
ESA-04,19,2018,11,6,4.19,0.25,0.2555,0.1022,0.19418,0,0,0,0.55188,06/11/2018,14
ESA-04,7,2018,11,21,4.7,0.25,0.004769333,0.295698667,0.844172,0.162157333,0,0,1.306797333,21/11/2018,15
ESA-04,8,2018,11,21,4.8,0.25,0.538934667,0.124002667,0.009538667,0,0,0.033385333,0.705861333,21/11/2018,15
ESA-04,9,2018,11,21,4.9,0.25,0.138310667,0.200312,0.090617333,0.042924,0,0,0.472164,21/11/2018,15
ESA-04,12,2018,11,21,4.12,0.25,0.558012,0.009538667,0,0,0,0,0.567550667,21/11/2018,15
ESA-04,13,2018,11,21,4.13,0.25,0.405393333,0.004769333,0.586628,0,0,0,0.996790667,21/11/2018,15
ESA-04,14,2018,11,21,4.14,0.25,0.772632,0.100156,0.538934667,0,0,0,1.411722667,21/11/2018,15
ESA-04,17,2018,11,21,4.17,0.25,0.844172,0,0.019077333,0,0,0.081078667,0.944328,21/11/2018,15
ESA-04,18,2018,11,21,4.18,0.25,0.233697333,0.057232,0.338622667,0.114464,0,0.014308,0.758324,21/11/2018,15
ESA-04,19,2018,11,21,4.19,0.25,0.033385333,0.004769333,0.114464,0,0,0,0.152618667,21/11/2018,15
ESA-04,7,2018,12,5,4.7,0.25,0.55699,0.09198,0.07665,0,0.01022,0.00511,0.74095,05/12/2018,14
ESA-04,8,2018,12,5,4.8,0.25,0.1022,0.02044,0,0,0,0,0.12264,05/12/2018,14
ESA-04,9,2018,12,5,4.9,0.25,0.13797,0.24528,0.02044,0,0,0.06132,0.46501,05/12/2018,14
ESA-04,12,2018,12,5,4.12,0.25,0.00511,0.01022,0,0,0,0,0.01533,05/12/2018,14
ESA-04,13,2018,12,5,4.13,0.25,0.71029,0.73584,0.68985,0,0,0,2.13598,05/12/2018,14
ESA-04,14,2018,12,5,4.14,0.25,0.07154,0.1533,0,0,0,0.01022,0.23506,05/12/2018,14
ESA-04,17,2018,12,5,4.17,0.25,1.29283,0.49567,0,4.23619,0,0,6.02469,05/12/2018,14
ESA-04,18,2018,12,5,4.18,0.25,0.05621,0.0511,0.02555,0.1533,0,0,0.28616,05/12/2018,14
ESA-04,19,2018,12,5,4.19,0.25,0.05621,0.08687,0,0.5621,0,0,0.70518,05/12/2018,14
ESA-04,7,2018,12,19,4.7,0.25,1.45124,0.47012,0,0.2555,0,0,2.17686,19/12/2018,14
ESA-04,8,2018,12,19,4.8,0.25,0.65408,0.4088,0.01022,0.02044,0,0.06643,1.15997,19/12/2018,14
ESA-04,9,2018,12,19,4.9,0.25,1.79872,0.69496,0,0.28616,0,0.12775,2.90759,19/12/2018,14
ESA-04,12,2018,12,19,4.12,0.25,0.65919,0.48034,0.01533,0.00511,0,0.09709,1.25706,19/12/2018,14
ESA-04,13,2018,12,19,4.13,0.25,0.78694,0.44968,0,0,0,0,1.23662,19/12/2018,14
ESA-04,14,2018,12,19,4.14,0.25,0.31171,5.43704,0.00511,0.00511,0,0.00511,5.76408,19/12/2018,14
ESA-04,17,2018,12,19,4.17,0.25,3.07111,0.26061,0.01533,0,0.00511,0.08687,3.43903,19/12/2018,14
ESA-04,18,2018,12,19,4.18,0.25,0.20951,0.22995,0,0,0,0,0.43946,19/12/2018,14
ESA-04,19,2018,12,19,4.19,0.25,0.21973,0.13797,0.01533,0,0,0.01533,0.38836,19/12/2018,14
ESA-04,7,2019,1,3,4.7,0.25,0.629552,0.052462667,0.104925333,0,0,0,0.78694,03/01/2019,15
